"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","121"
"City of London Police","fLrvQqOIz9do","Falls within","121"
"On or near Corbet Court","2eP832Hq9waE","Location","121"
"City of London Police","fLrvQqOIz9do","Reported by","122"
"City of London Police","fLrvQqOIz9do","Falls within","122"
"On or near Talbot Court","l9RL4ah6siaK","Location","122"
"City of London Police","fLrvQqOIz9do","Reported by","123"
"City of London Police","fLrvQqOIz9do","Falls within","123"
"On or near Furnival Street","oTv0YYMhJMAE","Location","123"
"City of London Police","fLrvQqOIz9do","Reported by","124"
"City of London Police","fLrvQqOIz9do","Falls within","124"
"On or near Crutched Friars","Xx1u9dOHmIgj","Location","124"
"City of London Police","fLrvQqOIz9do","Reported by","125"
"City of London Police","fLrvQqOIz9do","Falls within","125"
"On or near Silk Street","uDDIdyXfh6MM","Location","125"
"City of London Police","fLrvQqOIz9do","Reported by","126"
"City of London Police","fLrvQqOIz9do","Falls within","126"
"On or near Park/Open Space","LLl6vvMC7sQJ","Location","126"
"City of London Police","fLrvQqOIz9do","Reported by","127"
"City of London Police","fLrvQqOIz9do","Falls within","127"
"No location","ToR5xtQyHv2n","Location","127"
"City of London Police","fLrvQqOIz9do","Reported by","128"
"City of London Police","fLrvQqOIz9do","Falls within","128"
"On or near Fleet Street","bEFOpF4BRrVI","Location","128"
"City of London Police","fLrvQqOIz9do","Reported by","129"
"City of London Police","fLrvQqOIz9do","Falls within","129"
"On or near Lovat Lane","iIpKwhyoBdec","Location","129"
"City of London Police","fLrvQqOIz9do","Reported by","130"
"City of London Police","fLrvQqOIz9do","Falls within","130"
"On or near India Street","Ko7IzQHFPPRI","Location","130"
"City of London Police","fLrvQqOIz9do","Reported by","131"
"City of London Police","fLrvQqOIz9do","Falls within","131"
"On or near Giltspur Street","phyFp9i5uImP","Location","131"
"City of London Police","fLrvQqOIz9do","Reported by","132"
"City of London Police","fLrvQqOIz9do","Falls within","132"
"On or near Corbet Court","2eP832Hq9waE","Location","132"
"City of London Police","fLrvQqOIz9do","Reported by","133"
"City of London Police","fLrvQqOIz9do","Falls within","133"
"On or near Aldersgate Street","lEhCXrFZtfEr","Location","133"
"City of London Police","fLrvQqOIz9do","Reported by","134"
"City of London Police","fLrvQqOIz9do","Falls within","134"
"On or near Moorgate","jLx3Ie2n+1jk","Location","134"
"City of London Police","fLrvQqOIz9do","Reported by","135"
"City of London Police","fLrvQqOIz9do","Falls within","135"
"On or near Giltspur Street","phyFp9i5uImP","Location","135"
"City of London Police","fLrvQqOIz9do","Reported by","136"
"City of London Police","fLrvQqOIz9do","Falls within","136"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","136"
"City of London Police","fLrvQqOIz9do","Reported by","137"
"City of London Police","fLrvQqOIz9do","Falls within","137"
"On or near Bishopsgate","CH41hlAxajZp","Location","137"
"City of London Police","fLrvQqOIz9do","Reported by","138"
"City of London Police","fLrvQqOIz9do","Falls within","138"
"On or near Victoria Avenue","AqEic1Ve0RZS","Location","138"
"City of London Police","fLrvQqOIz9do","Reported by","139"
"City of London Police","fLrvQqOIz9do","Falls within","139"
"On or near Queen Street","V/FWZ3wf/u33","Location","139"
"City of London Police","fLrvQqOIz9do","Reported by","140"
"City of London Police","fLrvQqOIz9do","Falls within","140"
"On or near Bishopsgate","CH41hlAxajZp","Location","140"
"City of London Police","fLrvQqOIz9do","Reported by","141"
"City of London Police","fLrvQqOIz9do","Falls within","141"
"On or near Cannon Street","xXi1HTC9dEVp","Location","141"
"City of London Police","fLrvQqOIz9do","Reported by","142"
"City of London Police","fLrvQqOIz9do","Falls within","142"
"On or near Lombard Street","6YZPZPnj3KKK","Location","142"
"City of London Police","fLrvQqOIz9do","Reported by","143"
"City of London Police","fLrvQqOIz9do","Falls within","143"
"On or near St Botolph Street","3lbO3t/qlBv2","Location","143"
"City of London Police","fLrvQqOIz9do","Reported by","144"
"City of London Police","fLrvQqOIz9do","Falls within","144"
"On or near Harrison Place","xe08h4QhCrS6","Location","144"
"City of London Police","fLrvQqOIz9do","Reported by","145"
"City of London Police","fLrvQqOIz9do","Falls within","145"
"On or near Moor Lane","+njjHy9WmmYk","Location","145"
"City of London Police","fLrvQqOIz9do","Reported by","146"
"City of London Police","fLrvQqOIz9do","Falls within","146"
"On or near Temple Avenue","G8Y+Tl5ySPNl","Location","146"
"City of London Police","fLrvQqOIz9do","Reported by","147"
"City of London Police","fLrvQqOIz9do","Falls within","147"
"On or near Bishopsgate","CH41hlAxajZp","Location","147"
"City of London Police","fLrvQqOIz9do","Reported by","148"
"City of London Police","fLrvQqOIz9do","Falls within","148"
"On or near Moor Lane","+njjHy9WmmYk","Location","148"
"City of London Police","fLrvQqOIz9do","Reported by","149"
"City of London Police","fLrvQqOIz9do","Falls within","149"
"No location","ToR5xtQyHv2n","Location","149"
"City of London Police","fLrvQqOIz9do","Reported by","150"
"City of London Police","fLrvQqOIz9do","Falls within","150"
"On or near Shopping Area","fzK/HvsYVthT","Location","150"
"City of London Police","fLrvQqOIz9do","Reported by","151"
"City of London Police","fLrvQqOIz9do","Falls within","151"
"On or near New Street","AQJUM6v79PO+","Location","151"
"City of London Police","fLrvQqOIz9do","Reported by","152"
"City of London Police","fLrvQqOIz9do","Falls within","152"
"On or near Moorgate","jLx3Ie2n+1jk","Location","152"
"City of London Police","fLrvQqOIz9do","Reported by","153"
"City of London Police","fLrvQqOIz9do","Falls within","153"
"On or near Moorgate","jLx3Ie2n+1jk","Location","153"
"City of London Police","fLrvQqOIz9do","Reported by","154"
"City of London Police","fLrvQqOIz9do","Falls within","154"
"On or near Amen Court","xiJytzLUzDN4","Location","154"
"City of London Police","fLrvQqOIz9do","Reported by","155"
"City of London Police","fLrvQqOIz9do","Falls within","155"
"No location","ToR5xtQyHv2n","Location","155"
"City of London Police","fLrvQqOIz9do","Reported by","156"
"City of London Police","fLrvQqOIz9do","Falls within","156"
"No location","ToR5xtQyHv2n","Location","156"
"City of London Police","fLrvQqOIz9do","Reported by","157"
"City of London Police","fLrvQqOIz9do","Falls within","157"
"On or near Moor Lane","+njjHy9WmmYk","Location","157"
"City of London Police","fLrvQqOIz9do","Reported by","158"
"City of London Police","fLrvQqOIz9do","Falls within","158"
"On or near Milton Court","qTY2VvzIEWD8","Location","158"
"City of London Police","fLrvQqOIz9do","Reported by","159"
"City of London Police","fLrvQqOIz9do","Falls within","159"
"On or near India Street","Ko7IzQHFPPRI","Location","159"
"City of London Police","fLrvQqOIz9do","Reported by","160"
"City of London Police","fLrvQqOIz9do","Falls within","160"
"On or near Eastcheap","5CMQagL2W7dM","Location","160"
"City of London Police","fLrvQqOIz9do","Reported by","161"
"City of London Police","fLrvQqOIz9do","Falls within","161"
"On or near Lombard Street","6YZPZPnj3KKK","Location","161"
"City of London Police","fLrvQqOIz9do","Reported by","162"
"City of London Police","fLrvQqOIz9do","Falls within","162"
"On or near Lombard Street","6YZPZPnj3KKK","Location","162"
"City of London Police","fLrvQqOIz9do","Reported by","163"
"City of London Police","fLrvQqOIz9do","Falls within","163"
"On or near Laurence Pountney Hill","yQ/DPAHzI61o","Location","163"
